,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,group_size,group_number
0,1,c17,64.36025568,44.03884639,22.49473444,20.25367316,1.588816452,4,34,8,2,0,1
1,1,p83,63.68339978,39.22869688,55.49726954,56.23558352,0.874545163,1.2,34,8,3,2,1
2,1,p84,64.57466306,39.13736299,55.87544102,56.61298879,0.950500864,1.2,34,8,3,2,1
3,2,p92,70.47519419,39.33417544,49.71122116,49.7556939,1.10549095,1.2,88,55,3,2,1
4,2,p93,70.79977426,39.77792265,50.32604839,50.60258173,0.956132476,1.2,88,55,3,2,1
5,2,c3,58.06680711,37.37158041,113.1928541,69.58566195,4.079671949,4,88,55,2,0,1
6,2,c4,54.06490895,34.76896585,106.9986127,64.86540273,4.888618488,4,88,55,2,0,1
7,2,c22,78.39116371,52.4363455,9.491961233,12.54745158,2.140080039,4,88,55,2,0,1
8,3,c23,70.97860424,47.25446642,30.41576814,27.63333544,2.240094919,4,98,82,2,0,1
9,3,p94,65.84552505,35.30932851,54.43549006,52.71165655,1.167261102,1.2,98,73,3,3,1
10,3,p95,66.41657656,35.02584786,54.77386271,52.05142326,1.17658516,1.2,98,73,3,3,1
11,3,p96,67.06979905,35.14354048,55.10353026,52.30881066,1.267690255,1.2,98,73,3,3,1
12,4,c23,63.47175832,43.53171367,24.04197803,21.67609722,1.26596299,4,120,96,2,0,1
13,4,p135,57.43577435,42.68968297,68.48822569,29.07565718,0.347292117,1.2,120,96,3,2,1
14,4,p136,57.81634727,42.91134809,68.84913941,29.34207354,0.488764212,1.2,120,96,3,2,1
15,5,c6,38.24380095,24.05659793,85.58998612,55.78548107,4.261936082,4,294,268,2,0,1
16,5,p23,49.35053521,36.93011668,57.88050604,15.00283335,1.036527704,1.2,294,268,3,3,1
17,5,p24,48.47298135,36.9747547,56.87662201,14.48313299,1.194567962,1.2,294,268,3,3,1
18,5,p61,53.82338675,27.59080393,49.89653433,49.24439546,1.661617943,1.2,294,270,1,3,1
19,6,c6,49.93818096,32.0972502,97.66803,60.90937144,3.086626726,4,304,282,2,0,1
20,6,p104,61.60665315,38.13286578,50.28399148,53.77853853,1.098790037,1.2,304,282,3,4,1
21,6,p105,62.01481108,36.24024377,50.962879,52.51883727,1.454177142,1.2,304,282,3,4,1
22,6,p106,61.91178255,38.31627524,50.8066603,53.94178148,1.169466539,1.2,304,282,3,4,1
23,6,p107,63.15458406,36.74621968,50.96607799,51.39645565,1.145689857,1.2,304,282,3,4,1
24,7,c31,72.21684713,48.47589583,27.78446493,22.11805398,1.70991456,4,402,370,2,0,2
25,7,p116,62.5221543,38.14452869,57.72443844,59.76039832,0.973948119,1.2,398,370,3,2,2
26,7,p117,63.20048269,37.93454905,57.34756746,58.12798343,0.980154916,1.2,396,370,3,2,2
27,7,p152,61.642756,44.80860504,74.04708722,30.11669555,0.013444939,1.2,402,370,3,2,2
28,7,p153,60.97832523,44.3911208,72.95661029,29.75883718,0.004948329,1.2,402,370,3,2,2
29,8,c32,71.18684539,47.84974706,27.04495874,22.35000186,0.089694139,4,408,388,2,0,1
30,8,p150,65.21993464,46.40984497,64.65375517,34.40921393,3.84E-05,1.2,408,388,3,2,1
31,8,p151,65.77003878,46.74992168,70.5596436,35.72006164,8.75E-05,1.2,408,388,3,2,1
32,9,p154,67.01319921,48.05824428,71.05366631,29.28084826,0.750636965,1.2,426,404,3,2,2
33,9,p155,67.51011908,48.44633914,73.08684597,29.98793582,0.125568068,1.2,426,404,3,2,2
34,9,p150,65.1630068,46.34200026,69.96460346,29.57583411,0.039833624,1.2,426,404,3,2,2
35,9,p151,65.80232832,46.69885543,70.45178831,29.65016241,0.005522892,1.2,426,404,3,2,2
